Group_1,Group_2,Metric,EER
CR Bonafide,Worst-Scored Spoof,rmse_mean,0.5
CR Bonafide,Worst-Scored Spoof,rmse_amplitude,0.4330357142857143
CR Spoof,CW Bonafide,duration_s,0.30625
CR Spoof,CW Bonafide,speech_length_s,0.30625
CR Spoof,CW Bonafide,leading_silence_s,0.790625
CR Spoof,CW Bonafide,trailing_silence_s,0.596875
CR Spoof,CW Bonafide,voiced_frames,0.403125
CR Spoof,CW Bonafide,unvoiced_frames,0.403125
CR Spoof,CW Bonafide,voiced_unvoiced_ratio,0.5
CR Spoof,CW Bonafide,rms_first_100ms,0.3875
CR Spoof,CW Bonafide,rmse_mean,0.5
CR Spoof,CW Bonafide,rmse_amplitude,0.403125
CR Spoof,CW Spoof,duration_s,0.290625
CR Spoof,CW Spoof,speech_length_s,0.275
CR Spoof,CW Spoof,leading_silence_s,0.69375
CR Spoof,CW Spoof,trailing_silence_s,0.596875
CR Spoof,CW Spoof,voiced_frames,0.403125
CR Spoof,CW Spoof,unvoiced_frames,0.19375
CR Spoof,CW Spoof,voiced_unvoiced_ratio,0.30625
CR Spoof,CW Spoof,rms_first_100ms,0.5
CR Spoof,CW Spoof,rmse_mean,0.41875
CR Spoof,CW Spoof,rmse_amplitude,0.5
CR Spoof,Mid-Correct Bonafide,duration_s,0.403125
CR Spoof,Mid-Correct Bonafide,speech_length_s,0.403125
CR Spoof,Mid-Correct Bonafide,leading_silence_s,0.19375
CR Spoof,Mid-Correct Bonafide,trailing_silence_s,0.403125
CR Spoof,Mid-Correct Bonafide,voiced_frames,0.55
CR Spoof,Mid-Correct Bonafide,unvoiced_frames,0.41875
CR Spoof,Mid-Correct Bonafide,voiced_unvoiced_ratio,0.403125
CR Spoof,Mid-Correct Bonafide,rms_first_100ms,0.403125
CR Spoof,Mid-Correct Bonafide,rmse_mean,0.403125
CR Spoof,Mid-Correct Bonafide,rmse_amplitude,0.371875
CR Spoof,Mid-Correct Spoof,duration_s,0.403125
CR Spoof,Mid-Correct Spoof,speech_length_s,0.403125
CR Spoof,Mid-Correct Spoof,leading_silence_s,0.596875
CR Spoof,Mid-Correct Spoof,trailing_silence_s,0.596875
CR Spoof,Mid-Correct Spoof,voiced_frames,0.19375
CR Spoof,Mid-Correct Spoof,unvoiced_frames,0.434375
CR Spoof,Mid-Correct Spoof,voiced_unvoiced_ratio,0.19375
CR Spoof,Mid-Correct Spoof,rms_first_100ms,0.403125
CR Spoof,Mid-Correct Spoof,rmse_mean,0.403125
CR Spoof,Mid-Correct Spoof,rmse_amplitude,0.403125
CR Spoof,Mid-Wrong Bonafide,duration_s,0.403125
CR Spoof,Mid-Wrong Bonafide,speech_length_s,0.403125
CR Spoof,Mid-Wrong Bonafide,leading_silence_s,0.790625
CR Spoof,Mid-Wrong Bonafide,trailing_silence_s,0.596875
CR Spoof,Mid-Wrong Bonafide,voiced_frames,0.403125
CR Spoof,Mid-Wrong Bonafide,unvoiced_frames,0.35625
CR Spoof,Mid-Wrong Bonafide,voiced_unvoiced_ratio,0.225
CR Spoof,Mid-Wrong Bonafide,rms_first_100ms,0.209375
CR Spoof,Mid-Wrong Bonafide,rmse_mean,0.403125
CR Spoof,Mid-Wrong Bonafide,rmse_amplitude,0.41875
CR Spoof,Mid-Wrong Spoof,duration_s,0.371875
CR Spoof,Mid-Wrong Spoof,speech_length_s,0.403125
CR Spoof,Mid-Wrong Spoof,leading_silence_s,0.790625
CR Spoof,Mid-Wrong Spoof,trailing_silence_s,0.596875
CR Spoof,Mid-Wrong Spoof,voiced_frames,0.41875
CR Spoof,Mid-Wrong Spoof,unvoiced_frames,0.19375
CR Spoof,Mid-Wrong Spoof,voiced_unvoiced_ratio,0.403125
CR Spoof,Mid-Wrong Spoof,rms_first_100ms,0.403125
CR Spoof,Mid-Wrong Spoof,rmse_mean,0.3875
CR Spoof,Mid-Wrong Spoof,rmse_amplitude,0.434375
CR Spoof,Worst-Scored Spoof,duration_s,0.21875
CR Spoof,Worst-Scored Spoof,speech_length_s,0.1875
CR Spoof,Worst-Scored Spoof,leading_silence_s,0.65625
CR Spoof,Worst-Scored Spoof,trailing_silence_s,0.59375
CR Spoof,Worst-Scored Spoof,voiced_frames,0.3125
CR Spoof,Worst-Scored Spoof,unvoiced_frames,0.25
CR Spoof,Worst-Scored Spoof,voiced_unvoiced_ratio,0.46875
CR Spoof,Worst-Scored Spoof,rms_first_100ms,0.46875
CR Spoof,Worst-Scored Spoof,rmse_mean,0.46875
CR Spoof,Worst-Scored Spoof,rmse_amplitude,0.46875
CW Bonafide,CW Spoof,duration_s,0.1
CW Bonafide,CW Spoof,speech_length_s,0.1
CW Bonafide,CW Spoof,leading_silence_s,0.7
CW Bonafide,CW Spoof,trailing_silence_s,0.8
CW Bonafide,CW Spoof,voiced_frames,0.2
CW Bonafide,CW Spoof,unvoiced_frames,0.1
CW Bonafide,CW Spoof,voiced_unvoiced_ratio,0.3
CW Bonafide,CW Spoof,rms_first_100ms,0.4
CW Bonafide,CW Spoof,rmse_mean,0.4
CW Bonafide,CW Spoof,rmse_amplitude,0.3
CW Bonafide,Mid-Correct Bonafide,duration_s,0.25
CW Bonafide,Mid-Correct Bonafide,speech_length_s,0.4
CW Bonafide,Mid-Correct Bonafide,leading_silence_s,0.2
CW Bonafide,Mid-Correct Bonafide,trailing_silence_s,0.4
CW Bonafide,Mid-Correct Bonafide,voiced_frames,0.4
CW Bonafide,Mid-Correct Bonafide,unvoiced_frames,0.4
CW Bonafide,Mid-Correct Bonafide,voiced_unvoiced_ratio,0.4
CW Bonafide,Mid-Correct Bonafide,rms_first_100ms,0.2
CW Bonafide,Mid-Correct Bonafide,rmse_mean,0.4
CW Bonafide,Mid-Correct Bonafide,rmse_amplitude,0.4
CW Bonafide,Mid-Correct Spoof,duration_s,0.4
CW Bonafide,Mid-Correct Spoof,speech_length_s,0.4
CW Bonafide,Mid-Correct Spoof,leading_silence_s,0.6
CW Bonafide,Mid-Correct Spoof,trailing_silence_s,0.6
CW Bonafide,Mid-Correct Spoof,voiced_frames,0.25
CW Bonafide,Mid-Correct Spoof,unvoiced_frames,0.25
CW Bonafide,Mid-Correct Spoof,voiced_unvoiced_ratio,0.2
CW Bonafide,Mid-Correct Spoof,rms_first_100ms,0.4
CW Bonafide,Mid-Correct Spoof,rmse_mean,0.4
CW Bonafide,Mid-Correct Spoof,rmse_amplitude,0.2
CW Bonafide,Mid-Wrong Bonafide,duration_s,0.2
CW Bonafide,Mid-Wrong Bonafide,speech_length_s,0.2
CW Bonafide,Mid-Wrong Bonafide,leading_silence_s,0.8
CW Bonafide,Mid-Wrong Bonafide,trailing_silence_s,0.8
CW Bonafide,Mid-Wrong Bonafide,voiced_frames,0.4
CW Bonafide,Mid-Wrong Bonafide,unvoiced_frames,0.2
CW Bonafide,Mid-Wrong Bonafide,voiced_unvoiced_ratio,0.25
CW Bonafide,Mid-Wrong Bonafide,rms_first_100ms,0.4
CW Bonafide,Mid-Wrong Bonafide,rmse_mean,0.4
CW Bonafide,Mid-Wrong Bonafide,rmse_amplitude,0.4
CW Bonafide,Mid-Wrong Spoof,duration_s,0.15000000000000002
CW Bonafide,Mid-Wrong Spoof,speech_length_s,0.15000000000000002
CW Bonafide,Mid-Wrong Spoof,leading_silence_s,0.8
CW Bonafide,Mid-Wrong Spoof,trailing_silence_s,0.6
CW Bonafide,Mid-Wrong Spoof,voiced_frames,0.4
CW Bonafide,Mid-Wrong Spoof,unvoiced_frames,0.2
CW Bonafide,Mid-Wrong Spoof,voiced_unvoiced_ratio,0.4
CW Bonafide,Mid-Wrong Spoof,rms_first_100ms,0.4
CW Bonafide,Mid-Wrong Spoof,rmse_mean,0.4
CW Bonafide,Mid-Wrong Spoof,rmse_amplitude,0.4
CW Bonafide,Worst-Scored Spoof,duration_s,0.403125
CW Bonafide,Worst-Scored Spoof,speech_length_s,0.403125
CW Bonafide,Worst-Scored Spoof,leading_silence_s,0.6125
CW Bonafide,Worst-Scored Spoof,trailing_silence_s,0.41875
CW Bonafide,Worst-Scored Spoof,voiced_frames,0.3875
CW Bonafide,Worst-Scored Spoof,unvoiced_frames,0.3875
CW Bonafide,Worst-Scored Spoof,voiced_unvoiced_ratio,0.5
CW Bonafide,Worst-Scored Spoof,rms_first_100ms,0.3875
CW Bonafide,Worst-Scored Spoof,rmse_mean,0.5
CW Bonafide,Worst-Scored Spoof,rmse_amplitude,0.3875
CW Spoof,Mid-Correct Bonafide,duration_s,0.2
CW Spoof,Mid-Correct Bonafide,speech_length_s,0.2
CW Spoof,Mid-Correct Bonafide,leading_silence_s,0.25
CW Spoof,Mid-Correct Bonafide,trailing_silence_s,0.4
CW Spoof,Mid-Correct Bonafide,voiced_frames,0.2
CW Spoof,Mid-Correct Bonafide,unvoiced_frames,0.2
CW Spoof,Mid-Correct Bonafide,voiced_unvoiced_ratio,0.55
CW Spoof,Mid-Correct Bonafide,rms_first_100ms,0.55
CW Spoof,Mid-Correct Bonafide,rmse_mean,0.4
CW Spoof,Mid-Correct Bonafide,rmse_amplitude,0.2
CW Spoof,Mid-Correct Spoof,duration_s,0.2
CW Spoof,Mid-Correct Spoof,speech_length_s,0.2
CW Spoof,Mid-Correct Spoof,leading_silence_s,0.6
CW Spoof,Mid-Correct Spoof,trailing_silence_s,0.6
CW Spoof,Mid-Correct Spoof,voiced_frames,0.2
CW Spoof,Mid-Correct Spoof,unvoiced_frames,0.2
CW Spoof,Mid-Correct Spoof,voiced_unvoiced_ratio,0.2
CW Spoof,Mid-Correct Spoof,rms_first_100ms,0.4
CW Spoof,Mid-Correct Spoof,rmse_mean,0.4
CW Spoof,Mid-Correct Spoof,rmse_amplitude,0.4
CW Spoof,Mid-Wrong Bonafide,duration_s,0.4
CW Spoof,Mid-Wrong Bonafide,speech_length_s,0.4
CW Spoof,Mid-Wrong Bonafide,leading_silence_s,0.6499999999999999
CW Spoof,Mid-Wrong Bonafide,trailing_silence_s,0.8
CW Spoof,Mid-Wrong Bonafide,voiced_frames,0.4
CW Spoof,Mid-Wrong Bonafide,unvoiced_frames,0.4
